Month,Year,Bank_ID,Bank_Transactions,Bank_Success_Count,Bank_Failure_Count,Bank_Failure_Rate
2023-01,2023,B01,415026,409442,5584,0.0135
2023-01,2023,B02,297697,294814,2883,0.0097
2023-01,2023,B03,344780,339258,5522,0.016
2023-01,2023,B04,402860,400502,2358,0.0059
2023-01,2023,B05,338698,332963,5735,0.0169
2023-01,2023,B06,438708,431705,7003,0.016
2023-01,2023,B07,416382,413261,3121,0.0075
2023-01,2023,B08,290174,286277,3897,0.0134
2023-01,2023,B09,502772,497471,5301,0.0105
2023-01,2023,B10,466072,463386,2686,0.0058
2023-01,2023,B11,373309,366337,6972,0.0187
2023-01,2023,B12,321692,319952,1740,0.0054
2023-02,2023,B01,412607,408818,3789,0.0092
2023-02,2023,B02,386037,383924,2113,0.0055
2023-02,2023,B03,367601,360828,6773,0.0184
2023-02,2023,B04,316408,314321,2087,0.0066
2023-02,2023,B05,362757,358061,4696,0.0129
2023-02,2023,B06,325067,322915,2152,0.0066
2023-02,2023,B07,436011,432824,3187,0.0073
2023-02,2023,B08,379689,373791,5898,0.0155
2023-02,2023,B09,315537,309924,5613,0.0178
2023-02,2023,B10,405290,401415,3875,0.0096
2023-02,2023,B11,508973,501222,7751,0.0152
2023-02,2023,B12,330257,325871,4386,0.0133
2023-03,2023,B01,323629,322201,1428,0.0044
2023-03,2023,B02,517900,512030,5870,0.0113
2023-03,2023,B03,398724,397274,1450,0.0036
2023-03,2023,B04,340052,337964,2088,0.0061
2023-03,2023,B05,489922,484424,5498,0.0112
2023-03,2023,B06,496269,490320,5949,0.012
2023-03,2023,B07,312493,308867,3626,0.0116
2023-03,2023,B08,328988,325759,3229,0.0098
2023-03,2023,B09,435112,433668,1444,0.0033
2023-03,2023,B10,339848,334237,5611,0.0165
2023-03,2023,B11,340161,335513,4648,0.0137
2023-03,2023,B12,388287,384669,3618,0.0093
2023-04,2023,B01,592442,584365,8077,0.0136
2023-04,2023,B02,398991,391328,7663,0.0192
2023-04,2023,B03,463315,455499,7816,0.0169
2023-04,2023,B04,316948,311735,5213,0.0164
2023-04,2023,B05,439356,433753,5603,0.0128
2023-04,2023,B06,310945,306983,3962,0.0127
2023-04,2023,B07,355981,351542,4439,0.0125
2023-04,2023,B08,486173,481083,5090,0.0105
2023-04,2023,B09,485471,477577,7894,0.0163
2023-04,2023,B10,373775,369553,4222,0.0113
2023-04,2023,B11,480715,473651,7064,0.0147
2023-04,2023,B12,496082,493742,2340,0.0047
2023-05,2023,B01,338973,336087,2886,0.0085
2023-05,2023,B02,388849,382856,5993,0.0154
2023-05,2023,B03,372716,370165,2551,0.0068
2023-05,2023,B04,306760,302737,4023,0.0131
2023-05,2023,B05,485404,481506,3898,0.008
2023-05,2023,B06,501052,499026,2026,0.004
2023-05,2023,B07,575782,570175,5607,0.0097
2023-05,2023,B08,424314,419470,4844,0.0114
2023-05,2023,B09,411917,408929,2988,0.0073
2023-05,2023,B10,304770,299430,5340,0.0175
2023-05,2023,B11,426182,422251,3931,0.0092
2023-05,2023,B12,326617,322468,4149,0.0127
2023-06,2023,B01,508537,503540,4997,0.0098
2023-06,2023,B02,472677,469231,3446,0.0073
2023-06,2023,B03,414165,409059,5106,0.0123
2023-06,2023,B04,388061,382256,5805,0.015
2023-06,2023,B05,333359,327370,5989,0.018
2023-06,2023,B06,391506,389530,1976,0.005
2023-06,2023,B07,344811,339930,4881,0.0142
2023-06,2023,B08,409366,406605,2761,0.0067
2023-06,2023,B09,462507,454567,7940,0.0172
2023-06,2023,B10,468654,463332,5322,0.0114
2023-06,2023,B11,350315,344308,6007,0.0171
2023-06,2023,B12,375222,372796,2426,0.0065
2023-07,2023,B01,333696,331812,1884,0.0056
2023-07,2023,B02,396251,392870,3381,0.0085
2023-07,2023,B03,332871,326438,6433,0.0193
2023-07,2023,B04,418317,411710,6607,0.0158
2023-07,2023,B05,521906,512434,9472,0.0181
2023-07,2023,B06,298759,294292,4467,0.015
2023-07,2023,B07,444998,440877,4121,0.0093
2023-07,2023,B08,385434,381291,4143,0.0107
2023-07,2023,B09,418749,411775,6974,0.0167
2023-07,2023,B10,440764,432836,7928,0.018
2023-07,2023,B11,270098,264907,5191,0.0192
2023-07,2023,B12,371003,363904,7099,0.0191
2023-08,2023,B01,557560,553626,3934,0.0071
2023-08,2023,B02,330621,326373,4248,0.0128
2023-08,2023,B03,573297,562600,10697,0.0187
2023-08,2023,B04,319467,313747,5720,0.0179
2023-08,2023,B05,323043,317964,5079,0.0157
2023-08,2023,B06,336218,334317,1901,0.0057
2023-08,2023,B07,436528,427885,8643,0.0198
2023-08,2023,B08,500812,491075,9737,0.0194
2023-08,2023,B09,507322,499464,7858,0.0155
2023-08,2023,B10,413445,406014,7431,0.018
2023-08,2023,B11,493948,491661,2287,0.0046
2023-08,2023,B12,387762,383214,4548,0.0117
2023-09,2023,B01,469023,467362,1661,0.0035
2023-09,2023,B02,360128,353126,7002,0.0194
2023-09,2023,B03,279411,278527,884,0.0032
2023-09,2023,B04,483853,477756,6097,0.0126
2023-09,2023,B05,448417,445251,3166,0.0071
2023-09,2023,B06,497009,488301,8708,0.0175
2023-09,2023,B07,542393,540263,2130,0.0039
2023-09,2023,B08,306747,305534,1213,0.004
2023-09,2023,B09,316541,310378,6163,0.0195
2023-09,2023,B10,307996,302100,5896,0.0191
2023-09,2023,B11,364954,358689,6265,0.0172
2023-09,2023,B12,345785,341204,4581,0.0132
2023-10,2023,B01,349960,346206,3754,0.0107
2023-10,2023,B02,482338,478757,3581,0.0074
2023-10,2023,B03,425106,420159,4947,0.0116
2023-10,2023,B04,388662,384747,3915,0.0101
2023-10,2023,B05,372820,370192,2628,0.007
2023-10,2023,B06,384950,380173,4777,0.0124
2023-10,2023,B07,409532,403111,6421,0.0157
2023-10,2023,B08,422872,414565,8307,0.0196
2023-10,2023,B09,449841,441324,8517,0.0189
2023-10,2023,B10,513527,506621,6906,0.0134
2023-10,2023,B11,245871,243041,2830,0.0115
2023-10,2023,B12,403349,401459,1890,0.0047
2023-11,2023,B01,482519,475749,6770,0.014
2023-11,2023,B02,468107,465282,2825,0.006
2023-11,2023,B03,428923,421663,7260,0.0169
2023-11,2023,B04,325820,322404,3416,0.0105
2023-11,2023,B05,516084,511578,4506,0.0087
2023-11,2023,B06,392798,386475,6323,0.0161
2023-11,2023,B07,381861,374634,7227,0.0189
2023-11,2023,B08,605360,601262,4098,0.0068
2023-11,2023,B09,353568,351518,2050,0.0058
2023-11,2023,B10,324994,321073,3921,0.0121
2023-11,2023,B11,522328,515058,7270,0.0139
2023-11,2023,B12,439090,430858,8232,0.0187
2023-12,2023,B01,370330,368189,2141,0.0058
2023-12,2023,B02,472135,464415,7720,0.0164
2023-12,2023,B03,535318,526302,9016,0.0168
2023-12,2023,B04,527787,526166,1621,0.0031
2023-12,2023,B05,457823,448973,8850,0.0193
2023-12,2023,B06,490947,484957,5990,0.0122
2023-12,2023,B07,330776,329028,1748,0.0053
2023-12,2023,B08,308365,304056,4309,0.014
2023-12,2023,B09,586122,581427,4695,0.008
2023-12,2023,B10,313815,311194,2621,0.0084
2023-12,2023,B11,414866,413407,1459,0.0035
2023-12,2023,B12,414688,410406,4282,0.0103
2024-01,2024,B01,461910,459316,2594,0.0056
2024-01,2024,B02,362587,360043,2544,0.007
2024-01,2024,B03,341108,335959,5149,0.0151
2024-01,2024,B04,345521,341212,4309,0.0125
2024-01,2024,B05,499827,495804,4023,0.008
2024-01,2024,B06,406467,400798,5669,0.0139
2024-01,2024,B07,560379,555567,4812,0.0086
2024-01,2024,B08,632629,627536,5093,0.0081
2024-01,2024,B09,423916,417540,6376,0.015
2024-01,2024,B10,526421,523532,2889,0.0055
2024-01,2024,B11,394202,392667,1535,0.0039
2024-01,2024,B12,341527,337083,4444,0.013
2024-02,2024,B01,354293,350281,4012,0.0113
2024-02,2024,B02,344479,342531,1948,0.0057
2024-02,2024,B03,534018,526542,7476,0.014
2024-02,2024,B04,430384,426086,4298,0.01
2024-02,2024,B05,501451,495935,5516,0.011
2024-02,2024,B06,526947,519799,7148,0.0136
2024-02,2024,B07,423267,414996,8271,0.0195
2024-02,2024,B08,373594,370565,3029,0.0081
2024-02,2024,B09,384056,378280,5776,0.015
2024-02,2024,B10,486724,477047,9677,0.0199
2024-02,2024,B11,557224,550274,6950,0.0125
2024-02,2024,B12,424514,417677,6837,0.0161
2024-03,2024,B01,550895,541791,9104,0.0165
2024-03,2024,B02,477618,468708,8910,0.0187
2024-03,2024,B03,334047,328012,6035,0.0181
2024-03,2024,B04,509495,501472,8023,0.0157
2024-03,2024,B05,362875,355626,7249,0.02
2024-03,2024,B06,428094,424636,3458,0.0081
2024-03,2024,B07,687489,683775,3714,0.0054
2024-03,2024,B08,579544,569697,9847,0.017
2024-03,2024,B09,443088,438843,4245,0.0096
2024-03,2024,B10,659404,651212,8192,0.0124
2024-03,2024,B11,354226,347481,6745,0.019
2024-03,2024,B12,527595,520091,7504,0.0142
2024-04,2024,B01,578767,572685,6082,0.0105
2024-04,2024,B02,645372,642653,2719,0.0042
2024-04,2024,B03,382406,374798,7608,0.0199
2024-04,2024,B04,470981,468943,2038,0.0043
2024-04,2024,B05,457245,448886,8359,0.0183
2024-04,2024,B06,376486,371961,4525,0.012
2024-04,2024,B07,422736,418866,3870,0.0092
2024-04,2024,B08,443309,441734,1575,0.0036
2024-04,2024,B09,440150,434113,6037,0.0137
2024-04,2024,B10,510329,503487,6842,0.0134
2024-04,2024,B11,589142,577763,11379,0.0193
2024-04,2024,B12,369609,367055,2554,0.0069
2024-05,2024,B01,596738,591012,5726,0.0096
2024-05,2024,B02,669472,656791,12681,0.0189
2024-05,2024,B03,534104,529331,4773,0.0089
2024-05,2024,B04,492378,484656,7722,0.0157
2024-05,2024,B05,486165,483521,2644,0.0054
2024-05,2024,B06,516292,512428,3864,0.0075
2024-05,2024,B07,318128,311939,6189,0.0195
2024-05,2024,B08,549292,544144,5148,0.0094
2024-05,2024,B09,479043,475172,3871,0.0081
2024-05,2024,B10,686892,684610,2282,0.0033
2024-05,2024,B11,467343,461194,6149,0.0132
2024-05,2024,B12,625417,618555,6862,0.011
2024-06,2024,B01,673632,668756,4876,0.0072
2024-06,2024,B02,497233,495578,1655,0.0033
2024-06,2024,B03,407008,405490,1518,0.0037
2024-06,2024,B04,516358,507559,8799,0.017
2024-06,2024,B05,676031,672905,3126,0.0046
2024-06,2024,B06,482175,473220,8955,0.0186
2024-06,2024,B07,371487,369098,2389,0.0064
2024-06,2024,B08,519619,511959,7660,0.0147
2024-06,2024,B09,399559,393876,5683,0.0142
2024-06,2024,B10,477225,469565,7660,0.0161
2024-06,2024,B11,481085,478515,2570,0.0053
2024-06,2024,B12,655201,645878,9323,0.0142
2024-07,2024,B01,413353,410038,3315,0.008
2024-07,2024,B02,621163,616720,4443,0.0072
2024-07,2024,B03,625571,616686,8885,0.0142
2024-07,2024,B04,610074,603674,6400,0.0105
2024-07,2024,B05,533215,531058,2157,0.004
2024-07,2024,B06,337466,335833,1633,0.0048
2024-07,2024,B07,470291,466446,3845,0.0082
2024-07,2024,B08,534076,529505,4571,0.0086
2024-07,2024,B09,552080,549499,2581,0.0047
2024-07,2024,B10,364222,362771,1451,0.004
2024-07,2024,B11,506110,498547,7563,0.0149
2024-07,2024,B12,407652,405220,2432,0.006
2024-08,2024,B01,502233,495480,6753,0.0134
2024-08,2024,B02,575528,571920,3608,0.0063
2024-08,2024,B03,553978,545439,8539,0.0154
2024-08,2024,B04,396033,390522,5511,0.0139
2024-08,2024,B05,417541,413537,4004,0.0096
2024-08,2024,B06,318393,313189,5204,0.0163
2024-08,2024,B07,582730,578068,4662,0.008
2024-08,2024,B08,527522,523105,4417,0.0084
2024-08,2024,B09,444908,436863,8045,0.0181
2024-08,2024,B10,450873,448837,2036,0.0045
2024-08,2024,B11,407642,400720,6922,0.017
2024-08,2024,B12,544575,536715,7860,0.0144
2024-09,2024,B01,383358,376924,6434,0.0168
2024-09,2024,B02,330259,328649,1610,0.0049
2024-09,2024,B03,440254,436448,3806,0.0086
2024-09,2024,B04,569858,560237,9621,0.0169
2024-09,2024,B05,594798,590176,4622,0.0078
2024-09,2024,B06,376834,375040,1794,0.0048
2024-09,2024,B07,578130,567816,10314,0.0178
2024-09,2024,B08,589161,578540,10621,0.018
2024-09,2024,B09,372911,370356,2555,0.0069
2024-09,2024,B10,661144,659118,2026,0.0031
2024-09,2024,B11,555989,550383,5606,0.0101
2024-09,2024,B12,568187,557525,10662,0.0188
2024-10,2024,B01,495199,491363,3836,0.0077
2024-10,2024,B02,420301,414254,6047,0.0144
2024-10,2024,B03,555531,552976,2555,0.0046
2024-10,2024,B04,438306,433003,5303,0.0121
2024-10,2024,B05,488213,484129,4084,0.0084
2024-10,2024,B06,569390,565724,3666,0.0064
2024-10,2024,B07,534308,532511,1797,0.0034
2024-10,2024,B08,384893,382115,2778,0.0072
2024-10,2024,B09,398258,395284,2974,0.0075
2024-10,2024,B10,585768,580528,5240,0.0089
2024-10,2024,B11,496782,490769,6013,0.0121
2024-10,2024,B12,576006,571010,4996,0.0087
2024-11,2024,B01,575791,569582,6209,0.0108
2024-11,2024,B02,433537,431445,2092,0.0048
2024-11,2024,B03,458233,453332,4901,0.0107
2024-11,2024,B04,491860,489940,1920,0.0039
2024-11,2024,B05,580453,569939,10514,0.0181
2024-11,2024,B06,703992,698841,5151,0.0073
2024-11,2024,B07,423679,418536,5143,0.0121
2024-11,2024,B08,497997,496431,1566,0.0031
2024-11,2024,B09,384315,377392,6923,0.018
2024-11,2024,B10,518563,508765,9798,0.0189
2024-11,2024,B11,547486,543972,3514,0.0064
2024-11,2024,B12,491928,482301,9627,0.0196
2024-12,2024,B01,573333,565734,7599,0.0133
2024-12,2024,B02,416974,411894,5080,0.0122
2024-12,2024,B03,576767,566598,10169,0.0176
2024-12,2024,B04,499593,492091,7502,0.015
2024-12,2024,B05,706975,700287,6688,0.0095
2024-12,2024,B06,513398,506610,6788,0.0132
2024-12,2024,B07,464119,460187,3932,0.0085
2024-12,2024,B08,427992,424948,3044,0.0071
2024-12,2024,B09,685397,674717,10680,0.0156
2024-12,2024,B10,422503,419661,2842,0.0067
2024-12,2024,B11,641100,633307,7793,0.0122
2024-12,2024,B12,410967,404251,6716,0.0163
